topic,level,days_spent,next_topic
hash table,medium,3,graph theory
binary indexed tree,medium,4,range query
sliding window,easy,1,two pointers
math,hard,7,number theory
breadth-first search,hard,7,graph theory
binary indexed tree,medium,4,range query
depth-first search,easy,1,breadth-first search
dynamic programming,medium,4,memoization
array,medium,4,string
math,medium,3,number theory
sorting,hard,6,binary search
combinatorics,easy,2,probability
combinatorics,easy,1,probability
concurrency,medium,5,design
greedy,easy,1,dynamic programming
binary indexed tree,medium,3,range query
concurrency,hard,6,design
rolling hash,hard,7,suffix array
combinatorics,medium,3,probability
linked list,hard,7,doubly-linked list
simulation,medium,5,design
divide and conquer,medium,4,segment tree
monotonic stack,medium,3,sliding window
matrix,medium,3,simulation
linked list,easy,1,doubly-linked list
recursion,hard,6,divide and conquer
two pointers,hard,6,array
array,medium,3,string
system design,hard,7,concurrency
string matching,medium,4,rolling hash
design,medium,4,system design
recursion,medium,5,divide and conquer
greedy,medium,3,dynamic programming
shortest path,easy,2,graph theory
system design,medium,5,concurrency
design,easy,2,system design
linked list,hard,6,doubly-linked list
depth-first search,medium,5,breadth-first search
simulation,hard,7,design
tree,hard,7,binary tree
backtracking,medium,5,recursion
number theory,medium,5,combinatorics
system design,easy,2,concurrency
array,easy,1,hash table
stack,hard,7,monotonic stack
two pointers,easy,2,array
sorting,hard,6,greedy
graph theory,easy,2,shortest path
binary indexed tree,easy,2,range query
monotonic stack,medium,3,sliding window
dynamic programming,medium,4,bitmask
tree,hard,7,graph theory
string matching,hard,6,rolling hash
string matching,hard,6,rolling hash
shortest path,hard,6,graph theory
tree,hard,7,graph theory
graph theory,medium,3,minimum spanning tree
rolling hash,hard,7,suffix array
simulation,medium,4,design
breadth-first search,easy,1,graph theory
rolling hash,medium,4,suffix array
graph theory,medium,3,shortest path
breadth-first search,easy,2,graph theory
linked list,easy,2,doubly-linked list
sliding window,easy,1,two pointers
two pointers,medium,5,array
trie,hard,6,string matching
breadth-first search,medium,3,graph theory
binary search,easy,1,graph theory
bitmask,hard,7,backtracking
string,hard,6,sorting
segment tree,hard,6,binary indexed tree
two pointers,hard,7,array
array,medium,5,string
hash table,medium,5,graph theory
shortest path,medium,4,graph theory
dynamic programming,medium,3,bitmask
hash table,medium,5,graph theory
trie,medium,3,string matching
shortest path,hard,7,graph theory
concurrency,hard,6,design
array,hard,6,string
system design,easy,1,concurrency
string matching,hard,7,rolling hash
matrix,medium,5,simulation
tree,easy,2,binary tree
string matching,medium,4,rolling hash
trie,medium,5,string matching
recursion,hard,7,divide and conquer
graph theory,medium,3,shortest path
breadth-first search,easy,2,graph theory
array,easy,2,hash table
string,medium,5,sorting
binary indexed tree,easy,2,range query
graph theory,easy,1,minimum spanning tree
binary search,medium,5,tree
divide and conquer,medium,3,segment tree
string,easy,1,sorting
string matching,hard,6,rolling hash
design,medium,4,system design
breadth-first search,medium,4,graph theory
divide and conquer,medium,4,segment tree
graph theory,easy,2,shortest path
number theory,easy,1,combinatorics
sorting,medium,4,greedy
tree,hard,7,graph theory
array,easy,2,string
hash table,medium,3,tree
simulation,hard,7,design
number theory,medium,3,combinatorics
matrix,medium,5,simulation
tree,easy,1,binary tree
sorting,medium,4,greedy
stack,medium,5,monotonic stack
binary indexed tree,easy,2,range query
number theory,hard,7,combinatorics
graph theory,easy,2,minimum spanning tree
bitmask,hard,6,backtracking
shortest path,medium,5,graph theory
tree,medium,5,graph theory
array,medium,4,hash table
number theory,medium,5,combinatorics
sorting,easy,1,binary search
linked list,easy,1,doubly-linked list
binary indexed tree,hard,6,range query
shortest path,hard,7,graph theory
math,medium,3,number theory
combinatorics,hard,7,probability
recursion,medium,4,divide and conquer
combinatorics,medium,5,probability
dynamic programming,easy,1,bitmask
binary search,easy,1,graph theory
breadth-first search,easy,2,graph theory
concurrency,hard,6,design
shortest path,easy,2,graph theory
two pointers,medium,3,array
sliding window,medium,4,two pointers
sliding window,medium,3,two pointers
combinatorics,hard,7,probability
segment tree,easy,2,binary indexed tree
hash table,medium,5,graph theory
recursion,hard,7,divide and conquer
hash table,medium,5,tree
linked list,medium,5,doubly-linked list
math,medium,3,number theory
concurrency,medium,3,design
segment tree,medium,5,binary indexed tree
binary indexed tree,hard,6,range query
graph theory,medium,4,shortest path
system design,hard,6,concurrency
sliding window,medium,4,two pointers
stack,medium,5,monotonic stack
concurrency,easy,1,design
trie,hard,7,string matching
binary search,hard,7,tree
graph theory,medium,5,minimum spanning tree
rolling hash,hard,6,suffix array
depth-first search,hard,6,breadth-first search
depth-first search,easy,1,breadth-first search
string,hard,7,sorting
monotonic stack,medium,3,sliding window
segment tree,easy,1,binary indexed tree
concurrency,medium,3,design
monotonic stack,easy,2,sliding window
backtracking,medium,5,recursion
shortest path,easy,1,graph theory
string matching,hard,7,rolling hash
dynamic programming,medium,5,memoization
simulation,easy,1,design
two pointers,medium,5,array
math,hard,6,number theory
binary indexed tree,easy,1,range query
shortest path,hard,7,graph theory
string,medium,5,hash table
hash table,hard,6,tree
concurrency,hard,7,design
stack,medium,3,monotonic stack
monotonic stack,medium,3,sliding window
system design,hard,6,concurrency
sorting,hard,6,greedy
linked list,medium,3,doubly-linked list
combinatorics,medium,5,probability
sliding window,easy,1,two pointers
stack,medium,4,monotonic stack
bitmask,medium,3,backtracking
binary indexed tree,easy,1,range query
monotonic stack,medium,3,sliding window
matrix,medium,3,simulation
dynamic programming,hard,7,memoization
probability,easy,2,statistics
linked list,hard,7,doubly-linked list
design,medium,4,system design
monotonic stack,hard,6,sliding window
binary search,easy,2,graph theory
math,easy,1,number theory
probability,medium,5,statistics
string,easy,1,sorting
string,medium,4,hash table
matrix,medium,5,simulation
binary tree,medium,4,depth-first search
matrix,hard,7,simulation
shortest path,medium,5,graph theory
binary indexed tree,easy,1,range query
divide and conquer,hard,7,segment tree
number theory,medium,3,combinatorics
stack,hard,6,monotonic stack
math,hard,6,number theory
sliding window,medium,5,two pointers
binary search,medium,4,graph theory
shortest path,hard,6,graph theory
hash table,medium,4,tree
backtracking,easy,1,recursion
system design,medium,4,concurrency
tree,medium,4,binary tree
probability,hard,6,statistics
depth-first search,easy,2,breadth-first search
shortest path,medium,4,graph theory
tree,easy,2,binary tree
depth-first search,medium,5,breadth-first search
divide and conquer,easy,2,segment tree
segment tree,medium,5,binary indexed tree
sorting,medium,3,greedy
combinatorics,easy,1,probability
rolling hash,medium,5,suffix array
simulation,hard,7,design
system design,medium,5,concurrency
array,hard,7,hash table
rolling hash,medium,5,suffix array
segment tree,easy,1,binary indexed tree
bitmask,medium,3,backtracking
backtracking,medium,5,recursion
combinatorics,easy,1,probability
dynamic programming,medium,5,memoization
binary indexed tree,hard,6,range query
math,medium,3,number theory
matrix,hard,7,simulation
graph theory,easy,2,minimum spanning tree
tree,hard,6,binary tree
graph theory,medium,5,minimum spanning tree
trie,hard,6,string matching
binary tree,medium,5,depth-first search
design,hard,7,system design
bitmask,easy,1,backtracking
hash table,medium,4,tree
shortest path,medium,5,graph theory
array,easy,1,string
breadth-first search,hard,7,graph theory
shortest path,medium,4,graph theory
probability,medium,5,statistics
bitmask,easy,2,backtracking
binary search,easy,2,tree
hash table,medium,5,graph theory
math,medium,4,number theory
string,medium,5,sorting
probability,easy,2,statistics
combinatorics,easy,1,probability
combinatorics,easy,2,probability
segment tree,hard,7,binary indexed tree
recursion,hard,6,divide and conquer
system design,hard,6,concurrency
binary indexed tree,easy,1,range query
probability,easy,1,statistics
binary search,medium,3,tree
hash table,medium,4,graph theory
matrix,easy,2,simulation
monotonic stack,medium,4,sliding window
design,medium,4,system design
binary indexed tree,hard,6,range query
bitmask,medium,4,backtracking
monotonic stack,easy,1,sliding window
dynamic programming,medium,5,bitmask
system design,easy,1,concurrency
sorting,medium,5,greedy
monotonic stack,medium,3,sliding window
design,easy,1,system design
string matching,medium,4,rolling hash
math,medium,5,number theory
shortest path,medium,3,graph theory
concurrency,easy,2,design
graph theory,easy,1,minimum spanning tree
probability,medium,3,statistics
probability,medium,3,statistics
binary search,hard,6,graph theory
graph theory,easy,1,minimum spanning tree
breadth-first search,medium,4,graph theory
binary tree,medium,3,depth-first search
divide and conquer,easy,1,segment tree
sliding window,easy,2,two pointers
number theory,hard,7,combinatorics
stack,easy,2,monotonic stack
design,medium,4,system design
segment tree,medium,3,binary indexed tree
sliding window,easy,2,two pointers
segment tree,medium,3,binary indexed tree
stack,easy,2,monotonic stack
segment tree,hard,6,binary indexed tree
matrix,medium,4,simulation
monotonic stack,medium,3,sliding window
number theory,easy,1,combinatorics
shortest path,medium,5,graph theory
recursion,easy,1,divide and conquer
simulation,hard,6,design
matrix,medium,4,simulation
system design,hard,7,concurrency
math,medium,3,number theory
array,easy,2,string
binary search,hard,6,graph theory
segment tree,hard,7,binary indexed tree
binary tree,hard,7,depth-first search
depth-first search,hard,7,breadth-first search
bitmask,medium,4,backtracking
design,hard,7,system design
greedy,hard,6,dynamic programming
backtracking,hard,7,recursion
backtracking,medium,4,recursion
recursion,hard,6,divide and conquer
system design,medium,4,concurrency
linked list,hard,6,doubly-linked list
divide and conquer,medium,5,segment tree
depth-first search,medium,3,breadth-first search
math,hard,7,number theory
linked list,easy,2,doubly-linked list
string matching,medium,5,rolling hash
recursion,medium,4,divide and conquer
stack,medium,3,monotonic stack
number theory,hard,7,combinatorics
design,hard,6,system design
system design,medium,3,concurrency
sliding window,medium,4,two pointers
sorting,medium,5,greedy
matrix,easy,2,simulation
concurrency,hard,6,design
string matching,easy,2,rolling hash
binary indexed tree,medium,5,range query
design,easy,2,system design
array,medium,5,hash table
dynamic programming,hard,6,bitmask
sorting,easy,2,binary search
tree,hard,7,binary tree
sorting,easy,2,greedy
greedy,medium,4,dynamic programming
backtracking,easy,2,recursion
combinatorics,medium,3,probability
monotonic stack,hard,6,sliding window
graph theory,medium,5,shortest path
math,easy,1,number theory
depth-first search,easy,1,breadth-first search
two pointers,hard,6,array
backtracking,medium,4,recursion
stack,easy,1,monotonic stack
bitmask,easy,1,backtracking
rolling hash,hard,7,suffix array
simulation,hard,7,design
number theory,medium,3,combinatorics
greedy,medium,5,dynamic programming
backtracking,easy,1,recursion
sliding window,medium,4,two pointers
binary indexed tree,hard,6,range query
string,easy,2,sorting
depth-first search,easy,2,breadth-first search
backtracking,medium,5,recursion
stack,hard,6,monotonic stack
two pointers,medium,3,array
probability,medium,4,statistics
array,hard,6,hash table
string matching,medium,4,rolling hash
shortest path,medium,4,graph theory
binary tree,medium,4,depth-first search
recursion,easy,2,divide and conquer
binary tree,easy,2,depth-first search
shortest path,medium,4,graph theory
concurrency,easy,1,design
dynamic programming,medium,4,memoization
breadth-first search,medium,3,graph theory
segment tree,medium,3,binary indexed tree
shortest path,medium,3,graph theory
binary search,easy,1,graph theory
binary tree,medium,5,depth-first search
monotonic stack,easy,1,sliding window
concurrency,easy,1,design
math,medium,3,number theory
